,ticker,so
0,DDD,124142000
1,MMM,576822016
2,WBAI,43001500
3,EGHT,106321000
4,AHC,18941300
5,AOS,135430000
6,ATEN,76708496
7,AIR,35300800
8,AAN,67557000
9,ABB,2058790016
10,ABT,1772359936
11,ABBV,1764829952
12,ANF,62373200
13,AWP,85408000
14,ACP,17432100
15,JEQ,13408500
16,AOD,105431000
17,ABM,66687100
18,AKR,86268096
19,ACEL,93280704
20,ACN,635000000
21,ACCO,94496800
22,ATV,2570950
23,AYI,39637400
24,GOLF,74294496
25,ADX,108683000
26,PEO,29778400
27,ADCT,76718600
28,AGRO,117339000
29,ADNT,93884400
30,ADT,770713984
31,ATGE,52091400
32,AAP,67854496
33,WMS,70476800
34,ASIX,28030300
35,AVK,34525200
36,ACM,160388992
37,AEG,2028519936
38,AENZ,174384000
39,AER,129757000
40,AJRD,78527800
41,AMG,46553100
42,AFL,702444992
43,MITT,40721800
44,AGCO,74899504
45,A,308310016
46,AEM,242350000
47,ADC,55370500
48,AL,113779000
49,APD,220894000
50,ALG,11879300
51,AGI,392697984
52,ALK,123664000
53,AIN,30700000
54,ALB,106457000
55,ACI,472652992
56,AA,185930000
57,ALC,489200000
58,ALEX,72354304
59,ALX,5107290
60,ARE,134944000
61,AQN,597030976
62,BABA,2705639936
63,Y,14130400
64,ATI,126816000
65,ALLE,92039000
66,ALE,51974900
67,ADS,47715000
68,AFB,28744900
69,AWF,86229696
70,AB,96174600
71,AIO,34323100
72,CBH,18258500
73,NCV,90373600
74,NCZ,76115800
75,ACV,10353900
76,NFJ,94801600
77,NIE,27709000
78,ALSN,112671000
79,ALL,304068000
80,ALLY,373856992
81,PINE,7458760
82,ALTG,30018500
83,AYX,54044800
84,ATUS,377121984
85,MO,1858419968
86,ACH,680907008
87,ALUS,28750000
88,AMBC,45809100
89,ABEV,15733399552
90,AMC,85624200
91,AMCR,1568480000
92,AEE,247207008
93,AMRC,29866100
94,AMOV,3351689984
95,AMX,3351689984
96,AAT,60282900
97,AXL,113273000
98,ACC,137632000
99,AEO,166114000
100,AEL,92017000
101,AXP,805201984
102,AFG,86844200
103,AMH,315628000
104,AIG,861526016
105,ARL,15997100
106,ARA,34519200
107,AWR,36889100
108,AMT,444212992
109,AVD,30287600
110,AWK,181272000
111,AMWL,199892000
112,COLD,204860000
113,AMP,117978000
114,ABC,204142000
115,AMN,47030800
116,AMRX,147628000
117,AP,18308700
118,APH,299155008
119,AXR,7323370
120,HKIB,245611008
121,AME,230064992
122,PLAN,139772000
123,FINS,15229000
124,AU,415999008
125,BUD,1971160064
126,NLY,1398230016
127,AM,476639008
128,AR,268672000
129,ANTM,248704000
130,ANH,99235600
131,AON,231650000
132,AIV,148866000
133,APG,169794000
134,ARI,140296992
135,APO,228816000
136,AFT,15573100
137,AIF,14464000
138,APLE,223266000
139,AIT,38760000
140,ATR,64722500
141,APTV,270024992
142,ARMK,252976000
143,ABR,123395000
144,ARC,43863000
145,MT,1057470016
146,ARCH,15147300
147,ADM,556388992
148,AROC,152932000
149,ARNC,109145000
150,ARCO,127266000
151,ACA,48267400
152,RCUS,64923300
153,ARD,18660000
154,ASC,33285300
155,ACRE,33441900
156,ARDC,22914900
157,ARES,143832000
158,AGX,15670000
159,ARGO,34684700
160,ANET,75661504
161,AAIC,33427700
162,AIW,30345600
163,ARLO,79037200
164,AHH,57934000
165,ARR,64730200
166,AFI,21594100
167,AWI,47859800
168,ARW,75545200
169,AJG,192322000
170,APAM,61425500
171,ASA,19289900
172,ASAN,74059504
173,ABG,19285500
174,ASX,2132700032
175,ASGN,52900000
176,AHT,14628200
177,ASH,60470500
178,ASPN,26867900
179,AMK,72449296
180,ASB,153590000
181,AC,3342230
182,AIZ,58759200
183,AIZP,62053900
184,AGO,80806200
185,HOME,64270400
186,T,7126000128
187,ATTO,14026900
188,ATH,191464000
189,ATKR,47260000
