,date,ticker,assets,book_equity,shares_rep,shares_outstanding,adj_close,market_cap,ebit
0,2020-01-31,A,9501000000.0,4848000000.0,-93000000.0,310000000.0,82.02996063232422,25429287796.020508,230000000.0
1,2020-04-30,A,9455000000.0,4768000000.0,-126000000.0,308000000.0,76.36167907714844,23519397155.76172,227000000.0
2,2020-07-31,A,9546000000.0,4981000000.0,-34000000.0,309000000.0,96.15662384033205,29712396766.6626,254000000.0
3,2020-10-31,A,9627000000.0,4873000000.0,-253000000.0,306000000.0,105.23999786376952,32203439346.313473,320000000.0
4,2019-12-31,AAL,59995000000.0,-118000000.0,-272000000.0,428200000.0,28.574403762817386,12235559691.238405,923000000.0
5,2020-03-31,AAL,58580000000.0,-2636000000.0,-171000000.0,422890000.0,12.1899995803833,5155028922.548294,-1216000000.0
6,2020-06-30,AAL,64544000000.0,-3169000000.0,-2000000.0,508560000.0,13.06999969482422,6646879044.799806,-4060000000.0
7,2020-09-30,AAL,62773000000.0,-5528000000.0,,508600000.0,12.289999961853027,6250693980.59845,-3716000000.0
8,2019-12-31,AAMC,53248000.0,-207928000.0,-43000.0,1598000.0,12.350000381469727,19735300.609588623,-2680000.0
9,2020-03-31,AAMC,49055000.0,-211531000.0,-205000.0,1626000.0,13.800000190734865,22438800.31013489,-3221000.0
10,2020-06-30,AAMC,42242000.0,-218967000.0,,1632000.0,16.399999618530273,26764799.377441406,-3226000.0
11,2020-09-30,AAMC,89821000.0,-206836000.0,,1632000.0,20.739999771118164,33847679.626464844,-3682000.0
12,2019-12-31,AAME,377626000.0,118339000.0,-20000.0,20470000.0,1.9700000286102293,40325900.58565139,2147000.0
13,2020-03-31,AAME,347861000.0,101463000.0,-10000.0,20440000.0,2.1099998950958248,43128397.85575866,-9751000.0
14,2020-06-30,AAME,385737000.0,123839000.0,-10000.0,20450000.0,1.6599999666213991,33946999.317407615,8695000.0
15,2020-09-30,AAME,384952000.0,127960000.0,-81000.0,20410000.0,2.0,40820000.0,2796000.0
16,2019-12-31,AAOI,466825000.0,273794000.0,-195000.0,20140000.0,11.880000114440918,239263202.3048401,-12054000.0
17,2020-03-31,AAOI,453536000.0,257499000.0,-259000.0,20250000.0,7.5900001525878915,153697503.08990481,-17794000.0
18,2020-06-30,AAOI,478091000.0,257455000.0,-207000.0,21940000.0,10.869999885559082,238487797.48916626,-11108000.0
19,2020-09-30,AAOI,497787000.0,265166000.0,-347000.0,22890000.0,11.25,257512500.0,-6779000.0
20,2019-12-31,AAON,371424000.0,290140000.0,-4333000.0,52080000.0,49.23701477050781,2564263729.248047,21589000.0
21,2020-03-31,AAON,395620000.0,306323000.0,-12518000.0,52040000.0,48.15083312988281,2505769356.0791016,27913000.0
22,2020-06-30,AAON,429807000.0,322695000.0,-4521000.0,52230000.0,54.290000915527344,2835566747.817993,23798000.0
23,2020-09-30,AAON,439913000.0,344892000.0,-5481000.0,52260000.0,60.25,3148665000.0,26238000.0
24,2019-12-28,AAP,11248525000.0,3549081000.0,-11892000.0,69230000.0,157.8671112060547,10929140108.795166,132827000.0
25,2020-04-18,AAP,12072572000.0,3537029000.0,-35761000.0,69100000.0,114.81482696533205,7933704543.304444,95885000.0
26,2020-07-11,AAP,11930665000.0,3726519000.0,-1442000.0,69140000.0,134.91154479980472,9327784207.458498,272960000.0
27,2020-10-03,AAP,11972763000.0,3762664000.0,-111127000.0,68440000.0,155.86000061035156,10667058441.77246,265569000.0
28,2019-12-28,AAPL,340618000000.0,89531000000.0,-22085000000.0,17540000000.0,71.6692123413086,1257077984466.5527,25569000000.0
29,2020-03-28,AAPL,320400000000.0,78425000000.0,-18761000000.0,17300000000.0,62.79285049438477,1086316313552.8566,12853000000.0
30,2020-06-27,AAPL,317344000000.0,72282000000.0,-17559000000.0,17140000000.0,90.1267318725586,1544772184295.6543,13091000000.0
31,2020-09-26,AAPL,323888000000.0,65339000000.0,-17587000000.0,16980000000.0,114.7620086669922,1948658907165.5276,14775000000.0
32,2019-12-31,AAWW,5385641000.0,1792179000.0,-34000.0,25870000.0,27.56999969482422,713235892.1051025,106195000.0
33,2020-03-31,AAWW,5405612000.0,1832750000.0,-3834000.0,26130000.0,25.670000076293945,670757101.9935608,54874000.0
34,2020-06-30,AAWW,5816750000.0,1930367000.0,-6000.0,26140000.0,43.02999877929688,1124804168.0908206,137873000.0
35,2020-09-30,AAWW,5822644000.0,2017423000.0,-75000.0,26140000.0,60.9000015258789,1591926039.8864744,120066000.0
36,2019-12-31,AAXN,845639000.0,543495000.0,-783000.0,59500000.0,73.27999877929688,4360159927.368164,-13686000.0
37,2020-03-31,AAXN,877451000.0,559590000.0,-5190000.0,59810000.0,70.7699966430664,4232753499.2218018,-800000.0
38,2020-06-30,AAXN,1232912000.0,869813000.0,-577000.0,63470000.0,98.12999725341795,6228310925.6744375,-9876000.0
39,2020-09-30,AAXN,1279149000.0,895153000.0,-1119000.0,63550000.0,90.6999969482422,5763984806.060792,3151000.0
40,2019-12-31,ABB,46108000000.0,13526000000.0,-1270000000.0,2134000000.0,23.066638946533203,49224207511.901855,1141000000.0
41,2020-03-31,ABB,48103000000.0,11570000000.0,-1270000000.0,2134000000.0,17.260000228881836,36832840488.43384,526000000.0
42,2020-06-30,ABB,46903000000.0,12156000000.0,-1270000000.0,2135000000.0,22.559999465942386,48165598859.786995,601000000.0
43,2020-09-30,ABB,44267000000.0,16744000000.0,-1270000000.0,2092000000.0,25.45000076293945,53241401596.06933,163000000.0
44,2019-12-31,ABBV,89115000000.0,-8172000000.0,-2000000.0,1479000000.0,83.89559936523438,124081591461.18164,3078000000.0
45,2020-03-31,ABBV,91199000000.0,-7415000000.0,-643000000.0,1477000000.0,73.16879272460938,108070306854.24805,3218000000.0
46,2020-06-30,ABBV,149530000000.0,14708000000.0,-19000000.0,1764000000.0,95.6929931640625,168802439941.40625,3406000000.0
47,2020-09-30,ABBV,149621000000.0,15270000000.0,-20000000.0,1765000000.0,86.41321563720703,152519325599.6704,3547000000.0
48,2019-12-31,ABC,40016738000.0,2954626000.0,-144724000.0,205780000.0,83.53189849853516,17189194073.028564,432254000.0
49,2020-03-31,ABC,42042262000.0,3590590000.0,-272013000.0,203350000.0,87.3339614868164,17759361068.344116,605834000.0
50,2020-06-30,ABC,40789703000.0,3857252000.0,-13372000.0,203960000.0,99.94181823730469,20384133247.680664,463848000.0
51,2020-09-30,ABC,44274830000.0,-1018924000.0,-127000.0,204230000.0,96.51806640625,19711884702.148438,577952000.0
52,2019-12-31,ABCB,18242579000.0,2469582000.0,-6849000.0,69500000.0,41.68286895751953,2896959392.5476074,0.0
53,2020-03-31,ABCB,18224548000.0,2437150000.0,-7956000.0,69440000.0,23.437374114990234,1627491258.5449219,0.0
54,2020-06-30,ABCB,19872629000.0,2460130000.0,-17000.0,69460000.0,23.434871673583984,1627786186.4471436,0.0
55,2020-09-30,ABCB,19873851000.0,2564683000.0,-15000.0,69490000.0,22.78000068664551,1582982247.7149966,0.0
56,2019-12-31,ABEV,101742944000.0,61278025000.0,-15028000.0,15730000000.0,4.6599998474121085,73301797599.79247,5660389000.0
57,2020-03-31,ABEV,113687561000.0,70359906000.0,-4467000.0,15730000000.0,2.299999952316284,36178999249.93515,3016965000.0
58,2020-06-30,ABEV,121393008000.0,73922755000.0,-1526000.0,15730000000.0,2.640000104904175,41527201650.14267,2034753000.0
59,2020-09-30,ABEV,127056787000.0,78006278000.0,-148000.0,15730000000.0,2.259999990463257,35549799849.98703,3677436000.0
60,2019-12-31,ABG,2911300000.0,646300000.0,-5000000.0,19280000.0,111.79000091552734,2155311217.651367,86400000.0
61,2020-03-31,ABG,3069200000.0,660900000.0,-5000000.0,19300000.0,55.22999954223633,1065938991.1651611,66800000.0
62,2020-06-30,ABG,2934400000.0,713100000.0,-100000.0,19290000.0,77.33000183105469,1491695735.321045,82200000.0
63,2020-09-30,ABG,3530600000.0,811900000.0,-100000.0,19290000.0,97.4499969482422,1879810441.131592,121100000.0
64,2020-01-31,ABM,3847100000.0,1559700000.0,-2400000.0,66750000.0,37.46875,2501039062.5,49000000.0
65,2020-04-30,ABM,4079200000.0,1395200000.0,-4100000.0,66650000.00000001,34.14228057861328,2275583000.5645757,58000000.0
66,2020-07-31,ABM,3668300000.0,1451300000.0,-300000.0,66680000.00000001,35.72011184692383,2381817057.9528813,93700000.0
67,2020-10-31,ABM,3776900000.0,1500300000.0,-300000.0,66750000.0,35.439998626708984,2365619908.3328247,75700000.0
68,2019-12-31,ABMD,1196611000.0,1046863000.0,-25404000.0,45110000.0,170.58999633789062,7695314734.802246,70463000.0
69,2020-03-31,ABMD,1216462000.0,1065466000.0,-25083000.0,45010000.0,145.16000366210938,6533651764.831543,56612000.0
70,2020-06-30,ABMD,1249512000.0,1101848000.0,-21167000.0,45040000.0,241.55999755859366,10879862290.039059,35767000.0
71,2020-09-30,ABMD,1327974000.0,1182409000.0,-1077000.0,45190000.0,277.0599975585937,12520341289.67285,62052000.0
72,2019-12-31,ABR,6239160000.0,1095109000.0,-12921000.0,109710000.0,12.885889053344727,1413710888.04245,0.0
73,2020-03-31,ABR,6934650000.0,986678000.0,-12921000.0,110610000.0,4.498568058013916,497586612.89691925,0.0
74,2020-06-30,ABR,6390124000.0,1016406000.0,-3494000.0,112210000.0,8.767043113708496,983749907.7892303,0.0
75,2020-09-30,ABR,6689218000.0,1103565000.0,-3494000.0,115930000.0,11.185473442077637,1296731936.1400604,0.0
76,2019-12-31,ABT,67887000000.0,31088000000.0,-496000000.0,1763000000.0,85.51184844970703,150757388816.8335,1483000000.0
77,2020-03-31,ABT,66777000000.0,30218000000.0,-236000000.0,1769000000.0,78.01519775390625,138008884826.66016,838000000.0
78,2020-06-30,ABT,68776000000.0,30578000000.0,-4000000.0,1771000000.0,90.77387237548828,160760527976.98975,727000000.0
79,2020-09-30,ABT,69043000000.0,31386000000.0,-2000000.0,1772000000.0,108.46847534179688,192206138305.66406,1447000000.0
80,2019-12-31,ABTX,4992654000.0,709865000.0,-11508000.0,20520000.0,37.216121673583984,763674816.7419434,0.0
81,2020-03-31,ABTX,5002429000.0,706593000.0,-9302000.0,20360000.0,23.93149185180664,487245174.1027832,0.0
82,2020-06-30,ABTX,5836881000.0,736143000.0,,20430000.0,25.292570114135746,516727207.4317933,0.0
83,2020-09-30,ABTX,5967751000.0,753053000.0,,20440000.0,23.3700008392334,477682817.15393066,0.0
84,2019-12-31,AC,1010906000.0,896426000.0,-772000.0,22480000.0,38.89457702636719,874350091.5527344,-1722000.0
85,2020-03-31,AC,904090000.0,819852000.0,-3225000.0,22390000.0,30.361581802368164,679795816.5550232,-1095000.0
86,2020-06-30,AC,926624000.0,851784000.0,,22360000.0,36.50746154785156,816306840.2099609,0.0
87,2020-09-30,AC,1100611000.0,852095000.0,,22330000.0,36.13000106811523,806782923.8510131,-3552000.0
88,2019-12-31,ACA,2302500000.0,1790400000.0,-300000.0,48300000.0,44.34419631958008,2141824682.2357178,30500000.0
89,2020-03-31,ACA,2621600000.0,1816000000.0,-2000000.0,48300000.0,39.59957504272461,1912659474.5635986,46400000.0
90,2020-06-30,ACA,2560200000.0,1849100000.0,-3300000.0,48300000.0,42.10281753540039,2033566086.9598389,47800000.0
91,2020-09-30,ACA,2635000000.0,1881600000.0,-2200000.0,48300000.0,44.0435905456543,2127305423.3551025,44600000.0
92,2020-03-31,ACBI,2719658000.0,332300000.0,-7411000.0,21480000.0,11.869999885559082,254967597.54180908,0.0
93,2020-06-30,ACBI,2890622000.0,335980000.0,-4620000.0,21480000.0,12.15999984741211,261196796.7224121,0.0
94,2020-09-30,ACBI,2923977000.0,340309000.0,-4620000.0,21200000.0,11.350000381469727,240620008.0871582,0.0
95,2019-12-31,ACC,7559754000.0,3294676000.0,-4155000.0,137330000.0,44.71217346191406,6140322781.524658,69527000.0
96,2020-03-31,ACC,7619756000.0,3309811000.0,-4155000.0,137520000.0,26.65070343017578,3665004735.7177734,68061000.0
97,2020-06-30,ACC,7514510000.0,3232565000.0,-20000.0,137450000.0,34.090442657470696,4685731343.269347,12512000.0
98,2020-09-30,ACC,7581524000.0,3152935000.0,,137540000.0,34.51425170898437,4747090180.05371,8235000.0
99,2019-12-31,ACCO,2788600000.0,773700000.0,-8100000.0,96450000.0,9.052081108093262,873073222.8755951,77100000.0
100,2020-03-31,ACCO,2653200000.0,717900000.0,-20600000.0,94450000.0,4.950212001800537,467547523.57006073,19500000.0
101,2020-06-30,ACCO,2776600000.0,711600000.0,-100000.0,94460000.0,7.034538745880128,664482529.9358369,26900000.0
102,2019-12-31,ACEL,509317000.0,85525000.0,-5121000.0,81640000.0,12.5,1020500000.0,1496235.0
103,2020-03-31,ACEL,550660000.0,84619000.0,,81640000.0,7.5,612300000.0,-600000.0
104,2020-06-30,ACEL,525276000.0,65031000.0,,81790000.0,9.630000114440918,787637709.3601227,-22540000.0
105,2020-09-30,ACEL,564613000.0,157967000.0,,95550000.0,10.710000038146973,1023340503.6449432,9184000.0
106,2019-12-31,ACGL,37885361000.0,10717371000.0,-75486000.0,405620000.0,42.88999938964844,17397041552.4292,432690000.0
107,2020-03-31,ACGL,38416126000.0,10587244000.0,-75486000.0,405610000.0,28.459999084472656,11543660228.652954,-98250000.0
108,2020-06-30,ACGL,41199648000.0,11211825000.0,,405970000.0,28.649999618530273,11631040345.134735,563843000.0
109,2020-09-30,ACGL,42716035000.0,11671997000.0,,406020000.0,29.25,11876085000.0,600291000.0
110,2019-12-31,ACHC,6879142000.0,2505381000.0,-720000.0,87720000.0,33.220001220703125,2914058507.080078,99604000.0
111,2020-03-31,ACHC,6717995000.0,2464167000.0,-1402000.0,87840000.0,18.350000381469727,1611864033.5083008,86190000.0
112,2020-06-30,ACHC,6833228000.0,2503338000.0,,87900000.0,25.1200008392334,2208048073.7686157,79098000.0
113,2020-09-30,ACHC,7105145000.0,2606639000.0,,87920000.0,29.479999542236328,2591881559.753418,129092000.0
114,2020-09-12,ACI,26469600000.0,1501600000.0,-184700000.0,479050000.0,13.547210693359375,6489791282.653809,981100000.0
115,2020-12-05,ACI,26319300000.0,1374700000.0,-184700000.0,466610000.0,14.850000381469727,6929158677.997589,383600000.0
116,2019-12-31,ACIW,3257534000.0,1129968000.0,-1164000.0,115990000.0,37.88999938964844,4394861029.205322,102413000.0
117,2020-03-31,ACIW,3109899000.0,1067798000.0,-39854000.0,115880000.0,24.149999618530273,2798501955.795288,-11283000.0
118,2020-06-30,ACIW,3137577000.0,1090737000.0,-151000.0,116370000.0,26.989999771118164,3140826273.3650208,33938000.0
119,2020-09-30,ACIW,3132434000.0,1122844000.0,-26000.0,116730000.0,26.1299991607666,3050154802.0362854,43182000.0
120,2019-12-31,ACLS,548094000.0,419427000.0,-3709000.0,32580000.0,24.10000038146973,785178012.4282838,13212000.0
121,2020-03-31,ACLS,562573000.0,427172000.0,-7501000.0,32840000.000000004,18.309999465942386,601300382.4615481,13703000.0
122,2020-06-30,ACLS,588564000.0,445024000.0,,33430000.0,27.85000038146973,931025512.7525331,16381000.0
123,2020-09-30,ACLS,590656000.0,460663000.0,,33490000.000000004,22.0,736780000.0000001,13882000.0
124,2019-12-31,ACM,15229359000.0,3673002000.0,-38510000.0,158190000.0,43.13000106811523,6822734868.965148,122886000.0
125,2020-03-31,ACM,13115346000.0,3531502000.0,-280000.0,158910000.0,29.85000038146973,4743463560.619355,127376000.0
126,2020-06-30,ACM,13045053000.0,3744894000.0,-280000.0,160210000.0,37.58000183105469,6020692093.3532715,130597000.0
127,2020-09-30,ACM,12998951000.0,3292558000.0,-136474000.0,157040000.0,41.84000015258789,6570553623.962402,140466000.0
128,2020-02-29,ACN,33503430000.0,15474589000.0,-970056000.0,637820000.0,187.2764129638672,119448641716.61377,1488945000.0
129,2020-05-31,ACN,35057319000.0,16014606000.0,-626688000.0,636550000.0,201.8472137451172,128485843909.45435,1712733000.0
130,2020-08-31,ACN,37078593000.0,17000536000.0,-589892000.0,634690000.0,238.994140625,151687191113.28125,1544703000.0
131,2020-11-30,ACN,38268311000.0,17906501000.0,-768895000.0,634150000.0,248.24169921875,157422473559.5703,1890669000.0
132,2019-12-31,ACRS,98297000.0,69912000.0,-25000.0,41490000.0,1.8899999856948853,78416099.40648079,-17420000.0
133,2020-03-31,ACRS,96812000.0,58175000.0,-25000.0,41490000.0,1.0399999618530271,43149598.4172821,-13660000.0
134,2020-06-30,ACRS,84999000.0,49366000.0,-25000.0,42690000.0,1.6200000047683716,69157800.20356178,-11381000.0
135,2020-09-30,ACRS,71902000.0,40757000.0,,42920000.0,2.5699999332427983,110304397.1347809,-10465000.0
136,2019-12-31,ACRX,91356000.0,-41418000.0,-86000.0,79570000.0,2.1099998950958248,167892691.65277478,-14992000.0
137,2020-03-31,ACRX,77339000.0,-55281000.0,-86000.0,80420000.0,1.1799999475479126,94895595.78180313,-14048000.0
138,2020-06-30,ACRX,67400000.0,-60132000.0,,80890000.0,1.2100000381469729,97876903.08570863,-6834000.0
139,2020-09-30,ACRX,66179000.0,-57853000.0,,90480000.0,1.4199999570846558,128481596.11701965,-9037000.0
140,2019-12-31,ACTG,218161000.0,173125000.0,-1314000.0,50370000.0,2.6600000858306885,133984204.32329178,-7307000.0
141,2020-03-31,ACTG,213721000.0,159958000.0,-1314000.0,49810000.0,2.220000028610229,110578201.42507552,-3569000.0
142,2020-06-30,ACTG,394146000.0,162823000.0,-2684000.0,49310000.0,4.090000152587892,201677907.52410898,-6748000.0
143,2020-09-30,ACTG,426515000.0,200458000.0,,49280000.0,3.470000028610228,171001601.40991205,-2782000.0
144,2019-12-31,ACU,110748853.0,55704981.0,-214000.0,3351000.0,23.285816192626953,78030770.06149292,1400348.0
145,2020-03-31,ACU,108122000.0,55824000.0,-214000.0,3340000.0,19.939453125,66597773.4375,2010000.0
146,2020-06-30,ACU,123536000.0,59007000.0,-73000.0,3336000.0,22.739948272705078,75860467.43774414,4383000.0
147,2020-09-30,ACU,123017000.0,60596000.0,,3339000.0,23.03000068664551,76897172.29270937,2124000.0
148,2020-02-28,ADBE,21214000000.0,10465000000.0,-1317000000.0,483000000.0,345.1199951171875,166692957641.60156,937000000.0
149,2020-05-29,ADBE,21603000000.0,10881000000.0,-904000000.0,480000000.0,386.6000061035156,185568002929.6875,1016000000.0
150,2020-08-28,ADBE,22414000000.0,11713000000.0,-578000000.0,480000000.0,516.4400024414061,247891201171.87494,1069000000.0
151,2020-11-27,ADBE,24284000000.0,13264000000.0,-932000000.0,479000000.0,477.0299987792969,228497369415.2832,1215000000.0
152,2019-12-31,ADC,2664530000.0,1689331000.0,-6000.0,45570000.0,68.18467712402344,3107175736.541748,28469000.0
153,2020-03-31,ADC,2908945000.0,1755086000.0,-1627000.0,47000000.0,60.74459457397461,2854995944.9768066,29654000.0
154,2020-06-30,ADC,3111642000.0,2184101000.0,-3000.0,53850000.0,65.07715606689453,3504404854.2022705,30316000.0
155,2020-09-30,ADC,3547614000.0,2263570000.0,-7000.0,55370000.0,63.63999938964844,3523746766.204834,33778000.0
156,2020-06-30,ADCT,373842000.0,196302000.0,,70720000.0,46.81000137329102,3310403297.119141,-44949000.0
157,2020-09-30,ADCT,521526000.0,376059000.0,,76720000.0,32.990001678466804,2530992928.771973,-52428000.0
158,2019-12-31,ADES,173799000.0,108292000.0,-2948000.0,18360000.0,10.28983211517334,188921317.63458252,-4816000.0
159,2020-03-31,ADES,160183000.0,101780000.0,-535000.0,18500000.0,6.570000171661378,121545003.17573549,-8641000.0
160,2020-06-30,ADES,133330000.0,79102000.0,-2000.0,18490000.0,4.849999904632568,89676498.23665619,-4962000.0
161,2020-09-30,ADES,155654000.0,84350000.0,-153000.0,18550000.0,4.059999942779541,75312998.93856049,-2825000.0
162,2020-02-01,ADI,21376827000.0,11689517000.0,-106030000.0,368220000.0,108.25482177734376,39861590474.85352,284564000.0
163,2020-05-02,ADI,21350938000.0,11590858000.0,-113584000.0,368420000.0,102.31189727783205,37693749195.098885,345340000.0
164,2020-08-01,ADI,21599568000.0,11777560000.0,-17651000.0,369170000.0,115.97027587890624,42812746746.21581,460054000.0
165,2020-10-31,ADI,21468603000.0,11997945000.0,-7222000.0,369480000.0,118.4800033569336,43775991640.319824,488619000.0
166,2019-12-31,ADM,43997000000.0,19208000000.0,-112000000.0,557000000.0,44.83245468139648,24971677257.537838,438000000.0
167,2020-03-31,ADM,34968000000.0,18952000000.0,-112000000.0,555000000.0,34.29587554931641,19034210929.87061,287000000.0
168,2020-06-30,ADM,44341000000.0,19293000000.0,-5000000.0,556000000.0,39.29237365722656,21846559753.41797,478000000.0
169,2020-09-30,ADM,44795000000.0,19322000000.0,-5000000.0,556000000.0,46.15634155273438,25662925903.320316,413000000.0
170,2019-12-31,ADP,49059400000.0,5364400000.0,-305400000.0,431800000.0,167.34664916992188,72260283111.57227,834100000.0
171,2020-03-31,ADP,43383400000.0,5490700000.0,-391200000.0,429800000.0,134.98202514648438,58015274407.958984,1082100000.0
172,2020-06-30,ADP,39165500000.0,5752200000.0,-213600000.0,429900000.0,147.90289306640625,63583453729.24805,610400000.0
173,2020-09-30,ADP,42390100000.0,5808900000.0,-213600000.0,429300000.0,139.49000549316406,59883059358.21533,768800000.0
174,2019-12-31,ADS,26494800000.0,1588300000.0,-200000.0,47600000.0,110.09840393066406,5240684027.099609,227700000.0
175,2020-03-31,ADS,24234900000.0,1087700000.0,,47600000.0,33.21973419189453,1581259347.5341797,47300000.0
176,2020-06-30,ADS,22867400000.0,1154600000.0,,47700000.0,44.77540969848633,2135787042.6177979,106100000.0
177,2020-09-30,ADS,21112900000.0,1322600000.0,,47700000.0,41.84306716918945,1995914303.970337,200600000.0
178,2020-01-31,ADSK,6179300000.0,-139100000.0,-213200000.0,219400000.0,196.8500061035156,43188891339.11132,144000000.0
179,2020-04-30,ADSK,5543900000.0,-139100000.0,-234500000.0,219200000.0,187.1300048828125,41018897070.3125,132800000.0
180,2020-07-31,ADSK,5747300000.0,67300000.0,-14100000.0,219300000.0,236.42999267578125,51849097393.79883,149600000.0
181,2020-10-31,ADSK,5944500000.0,69300000.0,-255800000.0,219700000.0,240.7400054931641,52890579206.84815,172500000.0
182,2019-12-31,ADT,16083652000.0,3184369000.0,-4000.0,753620000.0,7.803585529327393,5880938126.61171,67380000.0
183,2020-03-31,ADT,16262743000.0,2894826000.0,-4000.0,770150000.0,4.286019802093507,3300878150.582314,19515000.0
184,2020-06-30,ADT,15958240000.0,2794115000.0,-4000.0,770430000.0,7.950160503387451,6125042156.624794,63140000.0
185,2020-09-30,ADT,16366067000.0,3138476000.0,,825470000.0,8.170000076293945,6744089962.978363,53750000.0
186,2019-12-31,ADVM,222727000.0,174957000.0,-59000.0,67330000.0,11.520000457763672,775641630.821228,-19653000.0
187,2020-03-31,ADVM,348599000.0,303953000.0,-1922000.0,79880000.0,9.770000457763672,780427636.5661621,-23791000.0
188,2020-06-30,ADVM,331176000.0,282563000.0,-121000.0,80640000.0,20.8799991607666,1683763132.3242188,-29775000.0
189,2020-09-30,ADVM,507711000.0,464712000.0,,97470000.0,10.300000190734863,1003941018.5909271,-28004000.0
190,2020-01-31,ADXS,51348000.0,41548000.0,-107000.0,60240000.0,0.8600000143051147,51806400.86174011,-7654000.0
191,2020-04-30,ADXS,45210000.0,35437000.0,-107000.0,60250000.0,0.6710000038146973,40427750.22983551,-5921000.0
192,2020-07-31,ADXS,40019000.0,31466000.0,-2000.0,62710000.0,0.5799999833106995,36371798.95341396,-5542000.0
193,2020-10-31,ADXS,38526000.0,30180000.0,,79160000.0,0.3409999907016754,26993559.263944626,-7292000.0
194,2019-12-31,AEE,28933000000.0,8059000000.0,-20000000.0,246200000.0,75.36932373046875,18555927502.441406,202000000.0
195,2020-03-31,AEE,29272000000.0,8085000000.0,-20000000.0,246900000.0,71.90950012207031,17754455580.13916,264000000.0
196,2020-06-30,AEE,30016000000.0,8227000000.0,,247100000.0,69.91891479492189,17276963845.8252,384000000.0
197,2020-09-30,AEE,30517000000.0,8489000000.0,,247200000.0,79.08000183105469,19548576452.63672,526000000.0
198,2019-12-31,AEG,440348000000.0,24421000000.0,-610500000.0,2053000000.0,4.099744796752931,8416776067.733767,475000000.0
199,2019-12-31,AEGN,995513000.0,427759000.0,-2250000.0,30720000.0,22.3700008392334,687206425.78125,19320000.0
200,2020-03-31,AEGN,989208000.0,427759000.0,-5045000.0,30680000.0,17.93000030517578,550092409.362793,5240000.0
201,2020-06-30,AEGN,966221000.0,422058000.0,-59000.0,30770000.0,15.869999885559082,488319896.47865295,14492000.0
202,2020-09-30,AEGN,920530000.0,399607000.0,-147000.0,30770000.0,14.130000114440918,434780103.52134705,18581000.0
203,2020-02-29,AEHR,21688000.0,16575000.0,-10000.0,23020000.0,2.150000095367432,49493002.195358284,255000.0
204,2020-05-31,AEHR,20574000.0,14077000.0,-10000.0,23110000.0,1.6299999952316284,37669299.88980293,-2621000.0
205,2020-08-31,AEHR,18691000.0,12321000.0,,23290000.0,1.7799999713897705,41456199.333667755,-2187000.0
206,2020-11-30,AEHR,17111000.0,10792000.0,,23490000.0,1.649999976158142,38758499.43995476,-1944000.0
