,date,ticker,assets,book_equity,shares_rep,shares_outstanding,adj_close
0,2020-09-30,ARCC,14950000000.0,6963000000.0,,422620000.0,13.949999809265135
1,2020-06-30,ARCC,14517000000.0,6691000000.0,,423000000.0,14.05329418182373
2,2020-03-31,ARCC,15806000000.0,6583000000.0,-100000000.0,423000000.0,10.198768615722656
3,2019-12-31,ARCC,14905000000.0,7467000000.0,-100000000.0,431000000.0,17.14915657043457
4,2020-09-30,AEIS,1642519000.0,768152000.0,-4331000.0,38270000.0,62.93999862670898
5,2020-06-30,AEIS,1594250000.0,717813000.0,-4331000.0,38320000.0,67.79000091552734
6,2020-03-31,AEIS,1522550000.0,685397000.0,-7248000.0,38250000.0,48.4900016784668
7,2019-12-31,AEIS,1532406000.0,676714000.0,-7248000.0,38360000.0,71.19999694824219
8,2020-09-30,DOX,6341621000.0,3622646000.0,-90850000.0,131540000.0,57.40999984741211
9,2020-06-30,DOX,6384355000.0,3604658000.0,-60014000.0,133020000.0,60.53654098510742
10,2020-03-31,DOX,5905578000.0,3536303000.0,-120028000.0,133500000.0,54.36510467529297
11,2019-12-31,DOX,5632275000.0,3539295000.0,-90020000.0,134580000.0,70.94405364990234
12,2020-09-30,BCML,2271731000.0,255349000.0,-684000.0,11830000.0,10.300000190734863
13,2020-06-30,BCML,2189831000.0,252408000.0,-5463000.0,11870000.0,12.90999984741211
14,2020-03-31,BCML,2168814000.0,253561000.0,-4596000.0,12230000.0,12.050000190734865
15,2019-12-31,BCML,1994177000.0,254220000.0,-10957000.0,12440000.0,22.739999771118164
16,2020-03-31,TARO,2341252000.0,2103864000.0,-157000.0,38260000.0,61.20000076293945
17,2020-11-29,CAG,22276700000.0,8392000000.0,,488580000.0,
18,2020-08-30,CAG,22377300000.0,8121400000.0,-9300000.0,488520000.0,
19,2020-05-31,CAG,22304000000.0,7876100000.0,-9300000.0,487160000.0,
20,2020-02-23,CAG,22202100000.0,7785000000.0,-9300000.0,487080000.0,
21,2020-09-30,ESS,13401042000.0,6082997000.0,-26586000.0,65209999.99999999,200.7899932861328
22,2020-06-30,ESS,13177411000.0,6166074000.0,-20093000.0,65330000.0,226.8751983642578
23,2020-03-31,ESS,13450841000.0,6228165000.0,-181975000.0,65410000.0,216.01905822753903
24,2019-12-31,ESS,12705405000.0,6220427000.0,-173000.0,66090000.0,292.4115295410156
25,2020-09-30,VKTX,263623000.0,253793000.0,-169000.0,72920000.0,5.820000171661378
26,2020-06-30,VKTX,271198000.0,261947000.0,-169000.0,72760000.0,7.210000038146973
27,2020-03-31,VKTX,277104000.0,268283000.0,-127000.0,72560000.0,4.679999828338623
28,2019-12-31,VKTX,284256000.0,277119000.0,-27000.0,72410000.0,8.020000457763674
29,2020-09-30,UTMD,107072000.0,98415000.0,-551000.0,3640000.0,79.87000274658203
30,2020-06-30,UTMD,103545000.0,95287000.0,-551000.0,3643000.0,88.3043441772461
31,2020-03-31,UTMD,103194000.0,94386000.0,-6426000.0,3642000.0,93.4415283203125
32,2019-12-31,UTMD,109787000.0,101093000.0,-6426000.0,3722000.0,106.86275482177734
33,2020-09-30,EWBC,50371477000.0,5126106000.0,-31000.0,141510000.0,32.48836898803711
34,2020-06-30,EWBC,49407593000.0,4987243000.0,-16000.0,141490000.0,35.676143646240234
35,2020-03-31,EWBC,45948545000.0,4902985000.0,-153575000.0,141440000.0,25.140810012817386
36,2019-12-31,EWBC,44196096000.0,5017617000.0,-405000.0,145630000.0,47.29048538208008
37,2020-09-30,BEN,20220900000.0,10114500000.0,,495120000.0,20.350000381469727
38,2020-06-30,BEN,15617000000.0,10114200000.0,-900000.0,495400000.0,20.425561904907227
39,2020-03-31,BEN,14666200000.0,9903400000.0,-66000000.0,495280000.0,16.256681442260742
40,2019-12-31,BEN,15001800000.0,10081600000.0,-121400000.0,497600000.0,24.911684036254893
41,2020-09-30,ADVM,507711000.0,464712000.0,,97470000.0,10.300000190734863
42,2020-06-30,ADVM,331176000.0,282563000.0,-121000.0,80640000.0,20.8799991607666
43,2020-03-31,ADVM,348599000.0,303953000.0,-1922000.0,79880000.0,9.770000457763672
44,2019-12-31,ADVM,222727000.0,174957000.0,-59000.0,67330000.0,11.520000457763672
45,2020-09-30,BKD,7007927000.0,841856000.0,-61000.0,187920000.0,2.5399999618530282
46,2020-06-30,BKD,7424543000.0,937557000.0,-53000.0,187920000.0,2.9500000476837163
47,2020-03-31,BKD,7501695000.0,1049879000.0,-22021000.0,188010000.0,3.119999885559082
48,2019-12-31,BKD,7194433000.0,696356000.0,-5625000.0,192130000.0,7.269999980926514
49,2020-09-30,RYAAY,14684400000.0,4978700000.0,,225060000.0,81.76000213623047
50,2020-06-30,RYAAY,14593800000.0,4666300000.0,,218020000.0,66.33999633789061
51,2020-03-31,RYAAY,14747200000.0,4914500000.0,-209000000.0,217840000.0,53.09000015258789
52,2020-09-30,RF,145180000000.0,16248000000.0,,960250000.0,11.529999732971193
53,2020-06-30,RF,144070000000.0,15946000000.0,-7000000.0,960080000.0,10.97380828857422
54,2020-03-31,RF,133542000000.0,16022000000.0,-7000000.0,957470000.0,8.74061393737793
55,2020-09-30,EVLO,104837000.0,50430000.0,-113000.0,46180000.0,5.269999980926514
56,2020-06-30,EVLO,113905000.0,69206000.0,-113000.0,46140000.0,4.900000095367432
57,2020-03-31,EVLO,83147000.0,39344000.0,-113000.0,32320000.0,3.755000114440918
58,2019-12-31,EVLO,90920000.0,60197000.0,-113000.0,32170000.0,4.059999942779541
59,2020-09-30,ICCH,179983837.0,68032876.0,-93502.0,3030000.0,11.699999809265135
