,ticker,ebit_date,ebit,ass_tot_date,ass_tot,book_equ_date,book_equ,share_rep_date,share_rep
0,ARCC,2020-09-30,247000000,2020-09-30,14950000000.0,2020-09-30,6963000000.0,2020-09-30,
1,ARCC,2020-06-30,246000000,2020-06-30,14517000000.0,2020-06-30,6691000000.0,2020-06-30,
2,ARCC,2020-03-31,319000000,2020-03-31,15806000000.0,2020-03-31,6583000000.0,2020-03-31,-100000000.0
3,ARCC,2019-12-31,272000000,2019-12-31,14905000000.0,2019-12-31,7467000000.0,2019-12-31,-100000000.0
0,AEIS,2020-09-30,61543000,2020-09-30,1642519000.0,2020-09-30,768152000.0,2020-09-30,-4331000.0
1,AEIS,2020-06-30,42451000,2020-06-30,1594250000.0,2020-06-30,717813000.0,2020-06-30,-4331000.0
2,AEIS,2020-03-31,33148000,2020-03-31,1522550000.0,2020-03-31,685397000.0,2020-03-31,-7248000.0
3,AEIS,2019-12-31,32633000,2019-12-31,1532406000.0,2019-12-31,676714000.0,2019-12-31,-7248000.0
0,DOX,2020-09-30,146938000,2020-09-30,6341621000.0,2020-09-30,3622646000.0,2020-09-30,-90850000.0
1,DOX,2020-06-30,147531000,2020-06-30,6384355000.0,2020-06-30,3604658000.0,2020-06-30,-60014000.0
2,DOX,2020-03-31,156712000,2020-03-31,5905578000.0,2020-03-31,3536303000.0,2020-03-31,-120028000.0
3,DOX,2019-12-31,143577000,2019-12-31,5632275000.0,2019-12-31,3539295000.0,2019-12-31,-90020000.0
0,BCML,2020-09-30,0,2020-09-30,2271731000.0,2020-09-30,255349000.0,2020-09-30,-684000.0
1,BCML,2020-06-30,0,2020-06-30,2189831000.0,2020-06-30,252408000.0,2020-06-30,-5463000.0
2,BCML,2020-03-31,0,2020-03-31,2168814000.0,2020-03-31,253561000.0,2020-03-31,-4596000.0
3,BCML,2019-12-31,0,2019-12-31,1994177000.0,2019-12-31,254220000.0,2019-12-31,-10957000.0
0,TARO,2020-09-30,40962000,2020-09-30,2346108000.0,2020-09-30,1727957000.0,2020-09-30,
1,TARO,2020-06-30,29766000,2020-06-30,2379693000.0,2020-06-30,1683279000.0,2020-06-30,
2,TARO,2020-03-31,57361000,2020-03-31,2341252000.0,2020-03-31,2103864000.0,2020-03-31,-157000.0
3,TARO,2019-12-31,58198000,2019-12-31,2290963000.0,2019-12-31,2062934000.0,2019-12-31,-26827000.0
0,CAG,2020-11-29,565600000,2020-11-29,22276700000.0,2020-11-29,8392000000.0,2020-11-29,
1,CAG,2020-08-30,550300000,2020-08-30,22377300000.0,2020-08-30,8121400000.0,2020-08-30,-9300000.0
2,CAG,2020-05-31,524000000,2020-05-31,22304000000.0,2020-05-31,7876100000.0,2020-05-31,-9300000.0
3,CAG,2020-02-23,412700000,2020-02-23,22202100000.0,2020-02-23,7785000000.0,2020-02-23,-9300000.0
0,ESS,2020-09-30,121243000,2020-09-30,13401042000.0,2020-09-30,6082997000.0,2020-09-30,-26586000.0
1,ESS,2020-06-30,120396000,2020-06-30,13177411000.0,2020-06-30,6166074000.0,2020-06-30,-20093000.0
2,ESS,2020-03-31,152134000,2020-03-31,13450841000.0,2020-03-31,6228165000.0,2020-03-31,-181975000.0
3,ESS,2019-12-31,191372000,2019-12-31,12705405000.0,2019-12-31,6220427000.0,2019-12-31,-173000.0
0,VKTX,2020-09-30,-9843000,2020-09-30,263623000.0,2020-09-30,253793000.0,2020-09-30,-169000.0
1,VKTX,2020-06-30,-10606000,2020-06-30,271198000.0,2020-06-30,261947000.0,2020-06-30,-169000.0
2,VKTX,2020-03-31,-10948000,2020-03-31,277104000.0,2020-03-31,268283000.0,2020-03-31,-127000.0
3,VKTX,2019-12-31,-8873000,2019-12-31,284256000.0,2019-12-31,277119000.0,2019-12-31,-27000.0
0,UTMD,2020-09-30,3587000,2020-09-30,107072000.0,2020-09-30,98415000.0,2020-09-30,-551000.0
1,UTMD,2020-06-30,1977000,2020-06-30,103545000.0,2020-06-30,95287000.0,2020-06-30,-551000.0
