,ticker,ebit_date,ebit,ass_tot_date,ass_tot,book_equ_date,book_equ,share_rep_date,share_rep
0,GLOP,2020-09-30,26226000,2020-09-30,2333186000.0,2020-09-30,591302000.0,2020-09-30,
1,GLOP,2020-06-30,39675000,2020-06-30,2345802000.0,2020-06-30,591962000.0,2020-06-30,
2,GLOP,2020-03-31,43603000,2020-03-31,2366574000.0,2020-03-31,597083000.0,2020-03-31,-996000.0
3,GLOP,2019-12-31,45772000,2019-12-31,2396944000.0,2019-12-31,618082000.0,2019-12-31,-2860000.0
0,NKE,2020-11-30,1717000000,2020-11-30,34836000000.0,2020-11-30,10640000000.0,2020-11-30,
1,NKE,2020-08-31,1906000000,2020-08-31,33258000000.0,2020-08-31,9224000000.0,2020-08-31,
2,NKE,2020-05-31,-838000000,2020-05-31,31342000000.0,2020-05-31,8055000000.0,2020-05-31,-202000000.0
3,NKE,2020-02-29,1190000000,2020-02-29,26220000000.0,2020-02-29,9045000000.0,2020-02-29,-944000000.0
0,SEB,2020-09-26,29000000,2020-09-26,5976000000.0,2020-09-26,3535000000.0,2020-09-26,
1,SEB,2020-06-27,11000000,2020-06-27,5873000000.0,2020-06-27,3380000000.0,2020-06-27,
2,SEB,2020-03-28,63000000,2020-03-28,6155000000.0,2020-03-28,3427000000.0,2020-03-28,-13000000.0
3,SEB,2019-12-31,82000000,2019-12-31,6285000000.0,2019-12-31,3544000000.0,2019-12-31,-13000000.0
0,BSY,2020-09-30,41927000,2020-09-30,1090497000.0,2020-09-30,7173000.0,2020-09-30,-3169000.0
1,BSY,2020-06-30,47780500,2020-06-30,1059169000.0,2020-06-30,379744000.0,2020-06-30,-34653500.0
2,BSY,2020-03-31,47780500,2020-03-31,1059169000.0,2020-03-31,379744000.0,2020-03-31,-34653500.0
3,BSY,2019-09-30,41549000,2019-09-30,,2019-09-30,,2019-09-30,-2390000.0
0,TFX,2020-09-27,128433000,2020-09-27,6613288000.0,2020-09-27,3236203000.0,2020-09-27,
1,TFX,2020-06-28,57815000,2020-06-28,6765130000.0,2020-06-28,3097402000.0,2020-06-28,
2,TFX,2020-03-29,113637000,2020-03-29,6701564000.0,2020-03-29,3073024000.0,2020-03-29,-3022000.0
3,TFX,2019-12-31,133861000,2019-12-31,6309820000.0,2019-12-31,2979320000.0,2019-12-31,-3022000.0
0,LGIH,2020-09-30,78837000,2020-09-30,1762843000.0,2020-09-30,1012670000.0,2020-09-30,
