,date,ticker,at,op,so
0,2018-11-30,DCT,,-7615000.0,
1,2018-12-31,GVA,2476601000.0,28610000.0,467000.0
2,2018-12-31,UK,4974686000.0,-137510000.0,
3,2018-12-31,YGMZ,15883551.0,1172125.0,9250.0
4,2019-03-31,AGMH,,-378364.0,
5,2019-03-31,ALGS,,-10551500.0,
6,2019-03-31,ANTE,128790000.0,-4819000.0,128000.0
7,2019-03-31,BLCT,,-25469422.0,
8,2019-03-31,BROG,246818012.0,7925372.0,1361285.0
9,2019-03-31,BRQS,90206000.0,593500.0,
10,2019-03-31,CCRC,80513924.0,2661041.0,18330.0
11,2019-03-31,CLEU,6769749.0,95164.0,5000.0
12,2019-03-31,CLWT,19358000.0,-238000.0,123000.0
13,2019-03-31,CVAC,,-22256000.0,
14,2019-03-31,DNK,,-763198000.0,
15,2019-03-31,DXF,689966000.0,23003500.0,326000.0
16,2019-03-31,FRLN,,-12333500.0,
17,2019-03-31,GLTO,,-4645500.0,
18,2019-03-31,GSUM,1036727000.0,-152220000.0,230000.0
19,2019-03-31,GVA,2439780000.0,-40677000.0,468000.0
20,2019-03-31,HKIB,7954009456.0,255632722.0,156998.0
21,2019-03-31,IKT,,-1732667.0,
22,2019-03-31,IMTX,,-6636000.0,
23,2019-03-31,JT,2442535000.0,15996000.0,284000.0
24,2019-03-31,KRBP,,-387300.0,
25,2019-03-31,KXIN,189736000.0,-2033000.0,16000.0
26,2019-03-31,LI,,-321963000.0,
27,2019-03-31,LKCO,91486064.0,-5268117.0,2003176.0
28,2019-03-31,LU,,5674266500.0,
29,2019-03-31,LXEH,,17877160.0,
30,2019-03-31,MKD,295818000.0,-51003500.0,98000.0
31,2019-03-31,MSP,,6604000.0,
32,2019-03-31,NCTY,195287583.0,-21415160.0,6924074.0
33,2019-03-31,NEWA,69819916.0,-612759.0,10809.0
34,2019-03-31,NISN,56241792.0,-309205.0,16269.0
35,2019-03-31,PBTS,38490688.0,-1186015.0,14863.0
36,2019-03-31,PETZ,18537112.0,-620602.0,12517.0
37,2019-03-31,QK,,-102945000.0,
38,2019-03-31,RENN,413685000.0,-11066000.0,1045000.0
39,2019-03-31,RETO,83266563.0,-1296628.0,22760.0
40,2019-03-31,ROOT,,-47200000.0,
41,2019-03-31,SPCB,,130000.0,
42,2019-03-31,SRL,,-9944500.0,16000.0
43,2019-03-31,TIMB,,549414000.0,
44,2019-03-31,UK,5377347000.0,-115607000.0,62000.0
45,2019-04-30,ASAN,,-15364000.0,
46,2019-04-30,ATIF,12342594.0,-452319.0,37075.0
47,2019-04-30,IHT,19617063.0,-149742.0,23417505.0
48,2019-04-30,NCNO,,-3492000.0,
49,2019-05-31,FRA,767538451.0,9569361.0,564639181.0
50,2019-06-28,ALGM,,7731000.0,
51,2019-06-28,BGI,212693000.0,-1025500.0,93358000.0
52,2019-06-30,AGMH,,-378364.0,
53,2019-06-30,ALGS,,-10551500.0,
54,2019-06-30,ANPC,,-16441000.0,
55,2019-06-30,ANTE,128790000.0,-4819000.0,128000.0
56,2019-06-30,AZEK,,24627000.0,
57,2019-06-30,BLCT,,-10475586.0,
58,2019-06-30,BNSO,21680000.0,-507500.0,17000.0
59,2019-06-30,BQ,,-35334000.0,
60,2019-06-30,BRLI,,-19998.0,
61,2019-06-30,BROG,246818012.0,7925372.0,1361285.0
62,2019-06-30,BRQS,90206000.0,593500.0,
63,2019-06-30,CCRC,80513924.0,2661041.0,18330.0
64,2019-06-30,CGA,481000399.0,-3659171.0,3985.0
65,2019-06-30,CLEU,6769749.0,95164.0,5000.0
66,2019-06-30,CLWT,19358000.0,-238000.0,123000.0
67,2019-06-30,DXF,689966000.0,23003500.0,326000.0
68,2019-06-30,EBON,,-13728017.0,
69,2019-06-30,EDSA,,-1320354.0,
70,2019-06-30,EDTK,45816287.0,3409908.0,1800.0
71,2019-06-30,ENX,399836427.0,2892918.0,181183.0
72,2019-06-30,EQOS,15713746.0,-6947168.0,30137136.0
73,2019-06-30,ESGC,356453000.0,-32740000.0,116000.0
74,2019-06-30,FAMI,30482631.0,825205.0,12590.0
75,2019-06-30,FRLN,,-12333500.0,
76,2019-06-30,GB,1261959000.0,18576000.0,341000.0
77,2019-06-30,GLTO,,-4645500.0,
