,endDate,common_stock,ticker
0,2020-09-30,3513000.0,EMCF
1,2020-06-30,3513000.0,EMCF
2,2020-03-31,3513000.0,EMCF
3,2019-12-31,3513000.0,EMCF
4,2020-09-30,38000.0,AEIS
5,2020-06-30,38000.0,AEIS
6,2020-03-31,38000.0,AEIS
7,2019-12-31,38000.0,AEIS
8,2020-09-30,3622646000.0,DOX
9,2020-06-30,4483000.0,DOX
10,2020-03-31,4477000.0,DOX
11,2019-12-31,4466000.0,DOX
12,2020-09-30,174357000.0,BCML
13,2020-06-30,174656000.0,BCML
14,2020-03-31,179756000.0,BCML
15,2019-12-31,184043000.0,BCML
16,2020-08-31,6068.0,RMCF
17,2020-05-31,6061.0,RMCF
18,2020-02-29,6020.0,RMCF
19,2019-11-30,5995.0,RMCF
20,2020-09-30,1727957000.0,TARO
21,2020-06-30,1683279000.0,TARO
22,2020-03-31,680000.0,TARO
23,2019-12-31,2062934000.0,TARO
24,2020-08-30,2921200000.0,CAG
25,2020-05-31,2921200000.0,CAG
26,2020-02-23,2921200000.0,CAG
27,2019-11-24,2921200000.0,CAG
28,2020-09-30,141377000.0,LINC
29,2020-06-30,141377000.0,LINC
30,2020-03-31,141377000.0,LINC
31,2019-12-31,141377000.0,LINC
32,2020-09-30,9000.0,USAP
33,2020-06-30,9000.0,USAP
34,2020-03-31,9000.0,USAP
35,2019-12-31,9000.0,USAP
36,2020-09-30,7000.0,ESS
37,2020-06-30,7000.0,ESS
38,2020-03-31,7000.0,ESS
39,2019-12-31,7000.0,ESS
40,2020-09-30,15000000.0,SCHW
41,2020-06-30,15000000.0,SCHW
42,2020-03-31,15000000.0,SCHW
43,2019-12-31,15000000.0,SCHW
44,2020-09-30,1000.0,VKTX
45,2020-06-30,1000.0,VKTX
46,2020-03-31,1000.0,VKTX
47,2019-12-31,1000.0,VKTX
48,2020-09-30,36000.0,UTMD
49,2020-06-30,36000.0,UTMD
50,2020-03-31,36000.0,UTMD
51,2019-12-31,37000.0,UTMD
52,2020-09-30,167000.0,EWBC
53,2020-06-30,167000.0,EWBC
54,2020-03-31,167000.0,EWBC
55,2019-12-31,167000.0,EWBC
56,2020-09-30,3897.0,MARA
57,2020-06-30,2453.0,MARA
58,2020-03-31,922.0,MARA
59,2019-12-31,846.0,MARA
60,2020-09-30,1496000.0,MAC
61,2020-06-30,1496000.0,MAC
62,2020-03-31,1416000.0,MAC
63,2019-12-31,1414000.0,MAC
64,2020-06-30,259.0,KBSF
65,2020-03-31,,KBSF
66,2019-12-31,259.0,KBSF
67,2019-09-30,259.0,KBSF
68,2020-09-30,,BEN
69,2020-06-30,49500000.0,BEN
70,2020-03-31,49500000.0,BEN
71,2019-12-31,49800000.0,BEN
72,2020-09-30,10000.0,ADVM
73,2020-06-30,8000.0,ADVM
74,2020-03-31,8000.0,ADVM
75,2019-12-31,7000.0,ADVM
76,2020-09-30,1984000.0,BKD
77,2020-06-30,1984000.0,BKD
78,2020-03-31,1985000.0,BKD
79,2019-12-31,1996000.0,BKD
80,2020-09-30,6700000.0,RYAAY
81,2020-06-30,6500000.0,RYAAY
82,2020-03-31,6500000.0,RYAAY
83,2019-12-31,6600000.0,RYAAY
84,2020-09-30,10000000.0,RF
85,2020-06-30,10000000.0,RF
86,2020-03-31,10000000.0,RF
87,2019-12-31,10000000.0,RF
88,2020-09-30,46000.0,EVLO
89,2020-06-30,46000.0,EVLO
90,2020-03-31,32000.0,EVLO
91,2019-12-31,32000.0,EVLO
92,2020-09-30,35000.0,ICCH
93,2020-06-30,35000.0,ICCH
94,2020-03-31,35000.0,ICCH
95,2019-12-31,35000.0,ICCH
96,2020-09-26,-873000000.0,MCFE
97,2020-06-27,-785000000.0,MCFE
98,2020-03-27,,MCFE
99,2019-09-28,,MCFE
100,2020-09-30,272100000.0,JHG
101,2020-06-30,275800000.0,JHG
102,2020-03-31,277400000.0,JHG
103,2019-12-31,280500000.0,JHG
104,2020-09-26,260000.0,ROLL
105,2020-06-27,259000.0,ROLL
106,2020-03-28,259000.0,ROLL
107,2019-12-28,259000.0,ROLL
108,2020-09-30,595708000.0,SIMO
109,2020-06-30,593097000.0,SIMO
110,2020-03-31,564630000.0,SIMO
111,2019-12-31,1391000.0,SIMO
112,2020-09-30,10000.0,UFAB
113,2020-06-30,10000.0,UFAB
114,2020-03-31,10000.0,UFAB
