,endDate,totalAssets,ticker
0,2020-09-30,1035499000.0,EMCF
1,2020-06-30,1003269000.0,EMCF
2,2020-03-31,944234000.0,EMCF
3,2019-12-31,915296000.0,EMCF
4,2020-09-30,14950000000.0,ARCC
5,2020-06-30,14517000000.0,ARCC
6,2020-03-31,15806000000.0,ARCC
7,2019-12-31,14905000000.0,ARCC
8,2020-09-30,1642519000.0,AEIS
9,2020-06-30,1594250000.0,AEIS
10,2020-03-31,1522550000.0,AEIS
11,2019-12-31,1532406000.0,AEIS
12,2020-09-30,6341621000.0,DOX
13,2020-06-30,6384355000.0,DOX
14,2020-03-31,5905578000.0,DOX
15,2019-12-31,5632275000.0,DOX
16,2020-09-30,2271731000.0,BCML
17,2020-06-30,2189831000.0,BCML
18,2020-03-31,2168814000.0,BCML
19,2019-12-31,1994177000.0,BCML
20,2020-08-31,29187439.0,RMCF
21,2020-05-31,29108126.0,RMCF
22,2020-02-29,27817388.0,RMCF
23,2019-11-30,29177535.0,RMCF
24,2020-09-30,2346108000.0,TARO
25,2020-06-30,2379693000.0,TARO
26,2020-03-31,2341252000.0,TARO
27,2019-12-31,2290963000.0,TARO
28,2020-08-30,22377300000.0,CAG
29,2020-05-31,22304000000.0,CAG
30,2020-02-23,22202100000.0,CAG
31,2019-11-24,22492600000.0,CAG
32,2020-09-30,205816000.0,LINC
33,2020-06-30,194901000.0,LINC
34,2020-03-31,169251000.0,LINC
35,2019-12-31,194763000.0,LINC
36,2020-09-30,321900000.0,USAP
37,2020-06-30,347781000.0,USAP
38,2020-03-31,367255000.0,USAP
39,2019-12-31,368399000.0,USAP
40,2020-09-30,13401042000.0,ESS
41,2020-06-30,13177411000.0,ESS
42,2020-03-31,13450841000.0,ESS
43,2019-12-31,12705405000.0,ESS
44,2020-09-30,419355000000.0,SCHW
45,2020-06-30,400484000000.0,SCHW
46,2020-03-31,370779000000.0,SCHW
47,2019-12-31,294005000000.0,SCHW
48,2020-09-30,263623000.0,VKTX
49,2020-06-30,271198000.0,VKTX
50,2020-03-31,277104000.0,VKTX
51,2019-12-31,284256000.0,VKTX
52,2020-09-30,107072000.0,UTMD
53,2020-06-30,103545000.0,UTMD
54,2020-03-31,103194000.0,UTMD
55,2019-12-31,109787000.0,UTMD
56,2020-09-30,50371477000.0,EWBC
57,2020-06-30,49407593000.0,EWBC
58,2020-03-31,45948545000.0,EWBC
59,2019-12-31,44196096000.0,EWBC
60,2020-09-30,37528664.0,MARA
61,2020-06-30,10716846.0,MARA
62,2020-03-31,5668117.0,MARA
63,2019-12-31,6619962.0,MARA
64,2020-09-30,9183288000.0,MAC
65,2020-06-30,9228348000.0,MAC
66,2020-03-31,9299648000.0,MAC
67,2019-12-31,8853571000.0,MAC
68,2020-06-30,56772484.0,KBSF
69,2020-03-31,,KBSF
70,2019-12-31,61088780.0,KBSF
71,2019-09-30,61088780.0,KBSF
72,2020-09-30,,BEN
73,2020-06-30,15617000000.0,BEN
74,2020-03-31,14666200000.0,BEN
75,2019-12-31,15001800000.0,BEN
